7748.8413,2289.0298,993.3837,535.3986,462.4338,265.2126,HDPE
7754.2808,2290.0474,993.3837,535.3986,463.4305,265.2126,HDPE
7755.6411,2289.0298,993.3837,535.3986,462.4338,265.2126,HDPE
7752.9209,2289.0298,993.3837,534.4391,462.4338,265.2126,HDPE
8854.459,2466.0481,1102.1235,584.3329,509.2752,285.2509,HDPE
8300.9697,2349.0535,1038.692,553.6291,483.3629,272.2849,HDPE
8360.8066,2356.1748,1043.2228,556.5076,484.3596,273.4636,HDPE
8358.0869,2354.1401,1043.2228,556.5076,484.3596,273.4636,HDPE
8358.0869,2355.1575,1044.3555,556.5076,485.3562,273.4636,HDPE
8355.3672,2354.1401,1043.2228,555.548,484.3596,273.4636,HDPE
1542.1527,700.9518,366.9969,193.8181,126.5713,69.5446,PC
715.3195,422.1989,219.7451,119.937,72.7536,41.2553,PC
5362.1763,1763.0616,894.8383,463.4365,347.822,186.2382,PC
3628.2747,1258.4578,667.1642,341.5805,245.1697,129.6595,PC
7678.1255,2410.0942,1198.4037,615.0368,477.3832,259.3189,PC
7645.4873,2403.99,1193.8728,613.1178,476.3866,258.1402,PC
7799.1582,2452.8228,1224.4559,628.4697,487.3495,262.8551,PC
7762.4404,2440.6145,1219.925,626.5507,484.3596,262.8551,PC
818.6736,454.7539,236.7357,128.5724,79.73,44.7915,PC
802.3546,447.6325,232.2049,126.6534,78.7333,44.7915,PC
3586.1169,1126.2028,550.4954,291.6867,227.2304,126.1233,PE
4384.3916,1313.3945,646.7755,339.6615,269.0887,147.3403,PE
3644.5938,1142.4802,558.4244,295.5247,230.2203,127.302,PE
2454.6611,859.6579,402.1109,218.765,169.4262,94.2978,PE
3860.8215,1191.3129,584.4766,308.9576,241.1832,133.1956,PE
3622.835,1133.3241,555.0262,293.6057,228.2271,126.1233,PE
3573.8777,1120.0986,548.23,290.7272,225.2372,124.9446,PE
3572.5178,1119.0813,548.23,290.7272,225.2372,124.9446,PE
3084.3054,999.0344,485.9312,259.0639,200.3215,111.9786,PE
3418.8464,1084.4915,528.974,281.1323,218.2608,121.4084,PE
9941.0371,2927.9236,1564.2678,786.7866,609.9343,324.1487,PET
9934.2373,2923.8542,1564.2678,785.827,608.9377,324.1487,PET
9508.582,2819.0674,1499.7036,757.0422,585.0187,312.3615,PET
9501.7822,2818.05,1499.7036,756.0827,585.0187,311.1827,PET
12539.8496,3461.0132,1968.6442,960.4553,746.4719,383.0848,PET
12552.0889,3467.1172,1973.1749,962.3743,747.4685,383.0848,PET
9397.0684,2780.4082,1479.3148,747.4472,575.0524,308.8253,PET
9630.9746,2853.6572,1514.4288,763.7587,591.9951,314.7189,PET
